561|Producto + personalización + preparación + extras|Produkt + Personalisierung + Einrichtung + Extras|Prodotto + personalizzazione + preparazione + extra
562|Ver precios|Preise ansehen|Vedi prezzi
563|Plazos de producción|Produktionszeiten|Tempi di produzione
564|Precios sin IVA. La maqueta mostrada es una simulación visual. Nuestro equipo confirma la técnica, el área y el precio final antes de la producción.|Preise ohne MwSt. Die gezeigte Vorschau ist eine visuelle Simulation. Unser Team bestätigt Technik, Fläche und endgültigen Preis vor der Produktion.|Prezzi IVA esclusa. La bozza mostrata è una simulazione visiva. Il nostro team conferma tecnica, area e prezzo finale prima della produzione.
565|Confirmando maqueta...|Vorschau wird bestätigt...|Conferma della bozza...
566|Confirmar maqueta y continuar a la compra|Vorschau bestätigen und zur Kasse|Conferma la bozza e continua all'acquisto
567|Tabla de precios|Preistabelle|Tabella prezzi
568|Cerrar tabla de precios|Preistabelle schließen|Chiudi tabella prezzi
569|Precio / unidad|Preis / Stück|Prezzo / unità
570|Tabla orientativa para apoyar la simulación. Los precios finales se confirmarán según la técnica, el área y el archivo recibido.|Unverbindliche Tabelle zur Unterstützung der Simulation. Die endgültigen Preise werden anhand von Technik, Fläche und erhaltener Datei bestätigt.|Tabella indicativa a supporto della simulazione. I prezzi finali verranno confermati in base alla tecnica, all'area e al file ricevuto.
571|Estimación por técnica y cantidad.|Schätzung nach Technik und Menge.|Stima per tecnica e quantità.
572|Cerrar plazos de producción|Produktionszeiten schließen|Chiudi tempi di produzione
573|Bajo consulta|Auf Anfrage|Su richiesta
574|Los plazos pueden variar según la técnica, disponibilidad, tamaño de la personalización y aprobación de la maqueta.|Die Zeiten können je nach Technik, Verfügbarkeit, Größe der Personalisierung und Druckfreigabe variieren.|I tempi possono variare in base alla tecnica, alla disponibilità, alle dimensioni della personalizzazione e all'approvazione della bozza.
575|Logotipo cargado|Hochgeladenes Logo|Logo caricato
576|Área de impresión|Druckfläche|Area di stampa
577|Todavía sin cargar|Noch nicht hochgeladen|Non ancora caricato
578|Color seleccionado|Ausgewählte Farbe|Colore selezionato
579|Área de personalización|Personalisierungsfläche|Area di personalizzazione
580|Todos los colores de la imagen|Alle Bildfarben|Tutti i colori dell'immagine
581|color|Farbe|colore
582|colores|Farben|colori
583|No se ha podido identificar la variante seleccionada.|Die ausgewählte Variante konnte nicht identifiziert werden.|Impossibile identificare la variante selezionata.
584|Selecciona una ubicación y una técnica.|Wählen Sie eine Position und eine Technik.|Seleziona una posizione e una tecnica.
585|No se ha podido determinar el precio del producto para esta cantidad.|Der Produktpreis konnte für diese Menge nicht ermittelt werden.|Impossibile determinare il prezzo del prodotto per questa quantità.
586|Producto|Produkt|Prodotto
587|/ unidad|/ Stück|/ unità
588|Cantidad mínima|Mindestmenge|Quantità minima
589|Stock disponible|Verfügbarer Bestand|Disponibilità a magazzino
590|Disponible|Verfügbar|Disponibile
591|No incluido|Nicht enthalten|Non incluso
592|Escalones de precio|Preisstaffeln|Fasce di prezzo
593|El precio se mostrará antes de completar el pedido.|Der Preis wird vor Abschluss der Bestellung angezeigt.|Il prezzo verrà mostrato prima del completamento dell'ordine.
594|Realiza tu pedido|Bestellung aufgeben|Effettua l'ordine
595|Elige primero un color y después introduce la cantidad para la talla que necesitas.|Wählen Sie zuerst eine Farbe und geben Sie dann die Menge für die gewünschte Größe ein.|Scegli prima un colore, poi inserisci la quantità per la taglia desiderata.
596|Introduce la cantidad para el color que necesitas. Puedes añadirlo directamente al carrito o continuar a la personalización.|Geben Sie die Menge für die gewünschte Farbe ein. Sie können das Produkt direkt in den Warenkorb legen oder mit der Personalisierung fortfahren.|Inserisci la quantità per il colore desiderato. Puoi aggiungerlo direttamente al carrello o continuare con la personalizzazione.
597|Maqueta lista|Vorschau bereit|Bozza pronta
598|La personalización se vinculará a esta línea del pedido.|Die Personalisierung wird mit dieser Bestellposition verknüpft.|La personalizzazione verrà collegata a questa riga dell'ordine.
599|Guardado|Gespeichert|Salvato
600|Logotipo|Logo|Logo
601|Editar o crear una nueva maqueta|Vorschau bearbeiten oder neu erstellen|Modifica o crea una nuova bozza
602|El color, la talla o la cantidad han cambiado. La maqueta anterior ya no está vinculada. Crea una nueva maqueta antes de añadir la personalización al carrito.|Farbe, Größe oder Menge haben sich geändert. Die bisherige Vorschau ist nicht mehr verknüpft. Erstellen Sie eine neue Vorschau, bevor Sie die Personalisierung zum Warenkorb hinzufügen.|Colore, taglia o quantità sono cambiati. La bozza precedente non è più collegata. Crea una nuova bozza prima di aggiungere la personalizzazione al carrello.
603|unidades en stock|Stück auf Lager|unità a magazzino
604|Próxima entrega:|Nächste Lieferung:|Prossima consegna:
605|Este pedido incluye unidades de stock futuro. Entregas previstas:|Diese Bestellung enthält Stückzahlen aus künftigem Bestand. Erwartete Lieferungen:|Questo ordine include unità da disponibilità futura. Consegne previste:
606|Resumen del pedido|Bestellübersicht|Riepilogo dell'ordine
607|Precios sin IVA ni envío. La disponibilidad, personalización e importe final se confirman antes de completar el pedido.|Preise ohne MwSt. und Versand. Verfügbarkeit, Personalisierung und endgültiger Betrag werden vor Bestellabschluss bestätigt.|Prezzi esclusi IVA e spedizione. Disponibilità, personalizzazione e importo finale vengono confermati prima del completamento dell'ordine.
608|Ver carrito|Warenkorb ansehen|Vedi carrello
609|Preparando personalización...|Personalisierung wird vorbereitet...|Preparazione della personalizzazione...
610|Continuar a la personalización|Weiter zur Personalisierung|Continua alla personalizzazione
611|Añadiendo...|Wird hinzugefügt...|Aggiunta in corso...
612|Añadir pedido personalizado|Personalisierte Bestellung hinzufügen|Aggiungi ordine personalizzato
613|Añadir sin personalización|Ohne Personalisierung hinzufügen|Aggiungi senza personalizzazione
614|Nombre y apellidos|Vor- und Nachname|Nome e cognome
615|Correo electrónico *|E-Mail *|E-mail *
616|Método de contacto preferido|Bevorzugte Kontaktart|Metodo di contatto preferito
617|Número fiscal de la empresa|Steuernummer des Unternehmens|Partita IVA dell'azienda
618|Cantidad *|Menge *|Quantità *
619|Fecha de entrega necesaria|Benötigter Liefertermin|Data di consegna richiesta
620|Presupuesto mínimo|Mindestbudget|Budget minimo
621|Presupuesto máximo|Höchstbudget|Budget massimo
622|Asunto|Betreff|Oggetto
623|Observaciones de personalización|Personalisierungshinweise|Note sulla personalizzazione
624|Indica los colores, la posición del logotipo, la técnica necesaria u otras instrucciones.|Nennen Sie Farben, Logoposition, gewünschte Technik oder weitere Hinweise.|Indica colori, posizione del logo, tecnica richiesta o altre istruzioni.
625|Mensaje|Nachricht|Messaggio
626|Describe la solicitud, el evento, el plazo o el objetivo de la campaña.|Beschreiben Sie die Anfrage, die Veranstaltung, den Termin oder das Kampagnenziel.|Descrivi la richiesta, l'evento, la scadenza o l'obiettivo della campagna.
627|Enviando solicitud...|Anfrage wird gesendet...|Invio della richiesta...
628|Enviar solicitud de presupuesto|Angebotsanfrage senden|Invia richiesta di preventivo
629|Soluciones empresariales|Unternehmenslösungen|Soluzioni aziendali
630|Soluciones por presupuesto|Lösungen nach Budget|Soluzioni per budget
631|Soluciones por cantidad|Lösungen nach Menge|Soluzioni per quantità
632|Soluciones por ocasión|Lösungen nach Anlass|Soluzioni per occasione
633|Volver a las soluciones|Zurück zu den Lösungen|Torna alle soluzioni
634|¿Necesitas combinar más criterios?|Möchten Sie weitere Kriterien kombinieren?|Hai bisogno di combinare più criteri?
635|Smart Merch combina necesidad, cantidad, presupuesto y plazo para acotar tu búsqueda antes de configurar un producto.|Smart Merch kombiniert Bedarf, Menge, Budget und Termin, um Ihre Suche vor der Produktkonfiguration einzugrenzen.|Smart Merch combina esigenza, quantità, budget e scadenza per restringere la ricerca prima di configurare un prodotto.
636|Selección empresarial|Auswahl für Unternehmen|Selezione aziendale
637|Productos que coinciden con el filtro inicial de esta página|Produkte passend zum Ausgangsfilter dieser Seite|Prodotti corrispondenti al filtro iniziale di questa pagina
638|Buscar en el catálogo|Katalog durchsuchen|Cerca nel catalogo
639|El filtro de presupuesto utiliza los precios base del catálogo. No es un presupuesto final y no incluye automáticamente la personalización. Confirma el importe final para tu cantidad y configuración.|Der Budgetfilter verwendet Kataloggrundpreise. Er ist kein endgültiges Angebot und enthält nicht automatisch die Personalisierung. Bestätigen Sie den Endbetrag für Ihre Menge und Konfiguration.|Il filtro di budget usa i prezzi base del catalogo. Non è un preventivo finale e non include automaticamente la personalizzazione. Conferma l'importo finale per la tua quantità e configurazione.
640|No hay suficientes sugerencias para este filtro|Nicht genügend Vorschläge für diesen Filter|Suggerimenti insufficienti per questo filtro
641|Es posible que el catálogo no contenga actualmente productos que cumplan este criterio. Continúa con la búsqueda o ajusta los criterios en Smart Merch.|Der Katalog enthält derzeit möglicherweise keine Produkte für dieses Kriterium. Setzen Sie die Suche fort oder passen Sie Ihre Kriterien in Smart Merch an.|Il catalogo potrebbe non contenere attualmente prodotti corrispondenti a questo criterio. Continua la ricerca o modifica i criteri in Smart Merch.
642|Antes de decidir|Vor der Entscheidung|Prima di decidere
643|Compara la solución completa, no solo el filtro inicial|Vergleichen Sie die gesamte Lösung, nicht nur den Ausgangsfilter|Confronta la soluzione completa, non solo il filtro iniziale
644|El presupuesto, la cantidad y la ocasión acotan las opciones, pero la decisión final debe incluir stock, materiales, variante, personalización, plazos y uso previsto.|Budget, Menge und Anlass grenzen die Optionen ein. Bei Ihrer Entscheidung sollten Sie aber auch Bestand, Materialien, Variante, Personalisierung, Termine und Verwendungszweck berücksichtigen.|Budget, quantità e occasione restringono le opzioni, ma la decisione finale deve considerare disponibilità, materiali, variante, personalizzazione, tempi e uso previsto.
645|Guía de selección|Auswahlratgeber|Guida alla scelta
646|Guía de presupuesto|Budgetratgeber|Guida al budget
647|Explora otro enfoque|Eine andere Perspektive entdecken|Esplora un'altra prospettiva
648|Aplicación, sector o técnica|Einsatzbereich, Branche oder Technik|Applicazione, settore o tecnica
649|Si el presupuesto o la cantidad no son el criterio principal, explora por aplicación, sector o método de personalización.|Wenn Budget oder Menge nicht ausschlaggebend sind, suchen Sie nach Einsatzbereich, Branche oder Personalisierungsmethode.|Se budget o quantità non sono il criterio principale, esplora per applicazione, settore o metodo di personalizzazione.
650|Preguntas frecuentes|Häufige Fragen|Domande frequenti
651|Soluciones relacionadas|Verwandte Lösungen|Soluzioni correlate
652|Ver solución|Lösung ansehen|Vedi soluzione
653|Volver a las guías|Zurück zu den Ratgebern|Torna alle guide
654|Contenido de|Inhalte von|Contenuti di
655|Resumen|Zusammenfassung|In sintesi
656|Explorar el catálogo|Katalog entdecken|Esplora il catalogo
657|Productos relacionados con esta guía|Produkte zu diesem Ratgeber|Prodotti correlati a questa guida
658|Estas sugerencias proceden del catálogo activo. Confirma stock, precio, cantidades y personalización en la página de cada producto.|Diese Vorschläge stammen aus dem aktiven Katalog. Prüfen Sie Bestand, Preis, Mengen und Personalisierung auf der jeweiligen Produktseite.|Questi suggerimenti provengono dal catalogo attivo. Verifica disponibilità, prezzo, quantità e personalizzazione nella pagina di ogni prodotto.
659|Explorar por presupuesto y cantidad|Nach Budget und Menge entdecken|Esplora per budget e quantità
660|No se han podido cargar sugerencias específicas en este momento.|Spezifische Vorschläge konnten derzeit nicht geladen werden.|Al momento non è stato possibile caricare suggerimenti specifici.
661|Seguir explorando|Weiter entdecken|Continua a esplorare
662|Puntos clave|Wichtige Punkte|Punti chiave
663|Información relacionada|Verwandte Informationen|Informazioni correlate
664|Saber más|Mehr erfahren|Scopri di più
665|Continuar|Weiter|Continua
666|← Volver a Selecciones 360|← Zurück zur 360-Auswahl|← Torna alle Selezioni 360
667|Sin clasificaciones artificiales|Keine künstliche Rangliste|Senza classifiche artificiali
668|Ver metodología editorial|Redaktionelle Methodik ansehen|Vedi la metodologia editoriale
669|Criterios de selección|Auswahlkriterien|Criteri di scelta
670|Criterio|Kriterium|Criterio
671|Productos relacionados|Verwandte Produkte|Prodotti correlati
672|Opciones del catálogo activo para comparar|Optionen aus dem aktiven Katalog vergleichen|Opzioni del catalogo attivo da confrontare
673|Esta selección es un punto de partida. Antes de decidir, comprueba siempre stock, cantidad mínima, precio, materiales, variante y personalización en la página de cada producto.|Diese Auswahl ist ein Ausgangspunkt. Prüfen Sie vor Ihrer Entscheidung stets Bestand, Mindestmenge, Preis, Materialien, Variante und Personalisierung auf der jeweiligen Produktseite.|Questa selezione è un punto di partenza. Prima di decidere, verifica sempre disponibilità, quantità minima, prezzo, materiali, variante e personalizzazione nella pagina del singolo prodotto.
